0,5893.4033291399965
20,5733.857714040576
40,5701.816133989323
60,5799.595065110686
80,5779.577845297009
100,5745.612634080727
120,5883.566493694806
140,5914.636625028461
160,5810.608826355022
180,5977.303609726631
200,5662.99730630398
220,5776.760864886433
240,5713.981321527664
260,5576.015605951233
280,5790.078317698876
300,5785.390298994006
320,5981.613969189056
340,5875.697402146573
360,5677.097581080496
380,6022.491107960102
400,5946.524043463042
420,5869.851724416234
440,5772.82190813802
460,5684.867291593182
480,5755.3351868714735
