0,32796
1,33817
2,34857
3,35840
4,36613
5,37591
6,38620
7,39497
8,40332
9,41389
10,41864
11,42592
12,43199
13,43733
14,44147
15,44654
16,44879
17,45195
18,45371
19,45535
20,45753
21,45379
22,45465
23,45085
24,44903
25,44680
26,44178
27,43595
28,43066
29,42555
30,41760
31,41098
32,40295
33,39403
34,38750
35,37717
36,36561
37,35771
38,34717
39,33840
40,32704
41,31754
42,30806
43,29849
44,28716
45,27842
46,26918
47,26027
48,25385
49,24487
50,23616
51,23108
52,22582
53,21936
54,21241
55,20903
56,20695
57,20265
58,20161
59,20069
60,19893
61,20002
62,19866
63,20239
64,20574
65,20842
66,21493
67,21739
68,22377
69,23045
70,23832
71,24340
72,25337
73,26080
74,26878
75,27906
76,28828
77,29731
78,30771
79,31732
80,32777
81,33825
82,34897
83,35657
84,36894
85,37510
86,38566
87,39503
88,40314
89,41031
90,41802
91,42461
92,43076
93,43749
94,44201
95,44538
96,45013
97,45238
98,45475
99,45578
100,45501
101,45483
102,45470
103,45263
104,44939
105,44603
106,44275
107,43634
108,43167
109,42485
110,41801
111,41168
112,40357
113,39521
114,38683
115,37668
116,36777
117,35731
118,34796
119,33761
120,32775
121,31811
122,30700
123,29947
124,28732
125,27772
126,27049
127,26143
128,25294
129,24505
130,23716
131,22963
132,22418
133,21800
134,21441
135,20930
136,20528
137,20295
138,20158
139,19962
140,19902
141,20026
142,20145
143,20281
144,20556
145,20960
146,21247
147,21741
148,22355
149,23017
150,23741
151,24573
152,25312
153,26067
154,26955
155,27789
156,28811
157,29756
158,30791
159,31697
160,32809
161,33894
162,34761
163,35788
164,36778
165,37634
166,38597
167,39456
168,40299
169,41019
170,41820
171,42541
172,43239
173,43758
174,44345
175,44532
176,45011
177,45229
178,45585
179,45463
180,45500
181,45480
182,45240
183,45172
184,44880
185,44605
186,44200
187,43831
188,43199
189,42455
190,41747
191,41120
192,40186
193,39602
194,38673
195,37628
196,36586
197,35864
198,34761
199,33871
