0,2122
1,2090
2,2270
3,2463
4,2260
5,2319
6,2648
7,2581
8,2447
9,2648
10,2544
11,2586
12,2731
13,2443
14,2502
15,2702
16,2656
17,2873
18,2701
19,2633
20,3067
21,2811
22,2848
23,2612
24,2727
25,2803
26,2588
27,2786
28,2605
29,2612
30,2523
31,2845
32,2516
33,2307
34,2534
35,2171
36,2326
37,1940
38,1973
39,2140
40,2158
41,2010
42,1905
43,1816
44,1579
45,1633
46,1615
47,1788
48,1629
49,1263
50,1530
51,1381
52,1299
53,1457
54,1489
55,1448
56,1161
57,1223
58,1307
59,1396
60,1176
61,1222
62,1091
63,1090
64,1409
65,1512
66,1324
67,1516
68,1455
69,1342
70,1536
71,1759
72,1572
73,1864
74,1291
75,1865
76,1813
77,1816
78,1936
79,1687
80,2015
81,2164
82,2394
83,2157
84,2173
85,2278
86,2548
87,2515
88,2438
89,2644
90,2628
91,2801
92,2589
93,2680
94,2701
95,2567
96,2853
97,2865
98,2838
99,2810
100,2635
101,2782
102,2786
103,2705
104,2784
105,2847
106,3043
107,2756
108,2733
109,2645
110,2325
111,2563
112,2527
113,2835
114,2382
115,2399
116,2290
117,2059
118,2344
119,2223
120,2166
121,1848
122,2133
123,1650
124,1888
125,2070
126,1536
127,1545
128,1592
129,1452
130,1249
131,1449
132,1241
133,1436
134,1197
135,1541
136,1169
137,1221
138,1379
139,1065
140,1282
141,1446
142,1016
143,1297
144,1326
145,1426
146,1149
147,1167
148,1479
149,1484
150,1519
151,1580
152,1475
153,1664
154,1728
155,1634
156,2080
157,1932
158,1744
159,2083
160,1901
161,2228
162,2346
163,2111
164,2439
165,2416
166,2534
167,2750
168,2481
169,2454
170,2480
171,2533
172,2683
173,2781
174,2802
175,2911
176,2810
177,3043
178,2798
179,3253
180,2941
181,2716
182,2677
183,2898
184,2775
185,2894
186,2831
187,2719
188,2568
189,2429
190,2546
191,2696
192,2550
193,2279
194,2437
195,2411
196,2162
197,2257
198,2181
199,1939
